0,0,0,0
0,0,0,0
6,1,1,4
1,0,3,8
0,1,0,9
2,0,0,0
12,12,3,0
0,0,0,0
0,0,0,0
6,5,17,41
0,0,0,0
0,0,0,0
0,0,0,0
98,13,63,42
0,1,0,0
2,0,0,0
27,20,0,0
0,0,0,0
19,3,95,53
4,6,1,0
0,0,0,0
0,0,0,0
0,0,0,0
0,8,0,0
1,0,2,2
1,4,9,6
0,0,2,5
1,3,13,9
0,0,6,0
6,1,0,0
0,0,0,0
0,2,0,0
5,0,1,0
49,35,131,47
11,0,19,0
41,84,53,44
3,13,2,16
1,2,11,0
21,0,107,1
37,3,134,17
8,10,1,3
2,5,4,0
30,12,0,4
0,0,0,3
33,11,21,22
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
2,5,7,3
4,2,0,0
0,0,3,1
0,0,0,1
49,0,0,0
2,3,0,2
5,17,2,3
5,4,0,0
2,1,0,0
1,0,1,0
3,1,2,5
29,138,33,16
7,0,51,0
0,2,0,0
1,0,0,6
67,50,159,78
0,0,0,0
13,0,3,6
2,0,2,0
2,0,0,0
0,0,1,2
2,8,1,10
2,0,0,0
0,0,6,1
21,0,0,0
16,6,10,7
13,11,2,4
0,0,0,1
0,0,1,3
0,0,1,0
0,0,5,3
2,3,0,0
2,0,0,0
0,0,5,3
25,23,27,38
6,0,29,2
0,4,0,1
29,28,40,16
59,14,132,61
1,0,0,0
1,0,70,58
9,1,8,19
13,6,9,8
0,0,0,0
13,5,51,29
0,0,0,0
1,2,3,2
0,16,1,1
4,24,5,10
9,0,3,0
0,0,1,0
9,87,13,62
0,0,0,0
19,0,1,1
0,0,1,1
2,1,1,1
0,0,0,0
4,1,15,13
0,2,0,1
0,1,2,0
11,3,8,3
0,1,0,0
1,4,3,3
13,5,30,4
11,6,5,0
6,2,5,18
0,0,0,0
17,18,13,15
2,0,5,7
0,0,0,0
20,7,13,22
31,28,18,22
0,0,2,0
0,0,1,1
5,0,19,0
33,3,44,16
0,0,0,0
2,0,10,4
8,0,8,5
3,8,6,1
11,14,1,12
0,0,1,0
41,116,2,48
0,0,4,0
0,0,1,0
0,0,0,0
29,12,38,22
25,1,33,17
0,1,0,0
6,6,2,2
2,2,2,3
2,0,13,9
11,9,0,5
1,0,0,0
1,0,0,0
103,24,19,7
8,3,16,18
0,0,1,0
1,3,18,3
0,0,0,0
3,1,0,1
5,3,3,10
0,11,4,4
